origin_file_name,category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20200915_TOMATO_Imprint_Organic_N_2_1.RAW,1,192611500.0,904493000.0,773584000.0,176360700.0,91274000.0,85165000.0,106090900.0,223679000.0,55739000.0,79249000.0,26719000.0,20600000.0,25168000.0,17773000.0,11846000.0,31558000.0,149313000.0,10553000.0,37085000.0,2680000.0,604000.0,850000.0,629000.0,1467000.0,0.0,0.0,0.0,0.0,259000.0,0.0,0.0,0.0,0.0,0.0,1237000.0,0.0,21330000.0,3484000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_2.RAW,1,181930900.0,886717100.0,745927000.0,166894000.0,86998300.0,83044000.0,103291000.0,224568000.0,54390000.0,76798000.0,27291000.0,20488000.0,23389000.0,17543000.0,11663000.0,31191000.0,144566000.0,10547000.0,32335000.0,2853000.0,213000.0,852000.0,516000.0,1517000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151000.0,0.0,20589000.0,3225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_3.RAW,1,186810100.0,922954200.0,774073000.0,167966000.0,89498000.0,84771500.0,106986500.0,234394000.0,57061000.0,80803000.0,28227000.0,22045000.0,24021000.0,17598000.0,11967000.0,30605000.0,146063000.0,10591000.0,38871000.0,2653000.0,288000.0,806000.0,644000.0,1465000.0,0.0,0.0,0.0,0.0,259000.0,304000.0,0.0,0.0,0.0,0.0,1285000.0,0.0,21597000.0,3021000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_4.RAW,1,190078000.0,933813800.0,800204700.0,169540500.0,88935000.0,85625000.0,106317000.0,230434000.0,59119000.0,83597000.0,27477000.0,22143000.0,23941000.0,16650000.0,11078000.0,31158000.0,144068000.0,10856000.0,39981000.0,2692000.0,523000.0,758000.0,637000.0,1461000.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,959000.0,0.0,22600000.0,3446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_5.RAW,1,187221800.0,962880900.0,791444600.0,174793000.0,91990000.0,89571700.0,110926000.0,245201000.0,61188000.0,87796000.0,29122000.0,23377000.0,24868000.0,18220000.0,11621000.0,31074000.0,149993000.0,10691000.0,36401000.0,2610000.0,246000.0,744000.0,647000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,301000.0,0.0,0.0,0.0,0.0,1046000.0,0.0,21880000.0,3159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_6.RAW,1,196909400.0,1004157800.0,809164000.0,175070000.0,91854000.0,88070000.0,109570000.0,234734000.0,59112000.0,88025000.0,28228000.0,22364000.0,24661000.0,16671000.0,11502000.0,31006000.0,147416000.0,10773000.0,40478000.0,2845000.0,598000.0,840000.0,596000.0,1542000.0,0.0,0.0,0.0,0.0,227000.0,268000.0,0.0,0.0,0.0,0.0,1279000.0,0.0,22665000.0,3438000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_7.RAW,1,190143500.0,973573600.0,815621000.0,174734000.0,92040000.0,88488000.0,111091300.0,239958000.0,59686000.0,88507000.0,27905000.0,22992000.0,24700000.0,17202000.0,11586000.0,31126000.0,145197000.0,11549000.0,34922000.0,2493000.0,240000.0,783000.0,672000.0,1409000.0,0.0,0.0,0.0,0.0,286000.0,0.0,0.0,0.0,0.0,0.0,975000.0,0.0,21858000.0,3427000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_8.RAW,1,191401900.0,947971600.0,795384900.0,177105100.0,91913000.0,87966000.0,108601000.0,230729000.0,58046000.0,87770000.0,27632000.0,22721000.0,24160000.0,17535000.0,11889000.0,31684000.0,143360000.0,10650000.0,35349000.0,2636000.0,450000.0,795000.0,572000.0,1331000.0,0.0,0.0,0.0,0.0,242000.0,0.0,0.0,0.0,0.0,0.0,956000.0,0.0,20856000.0,3307000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_9.RAW,1,188826700.0,965348000.0,798089400.0,177118000.0,93014600.0,91217000.0,113893000.0,237427000.0,61543000.0,90082000.0,29412000.0,22107000.0,25455000.0,17570000.0,11693000.0,31732000.0,148135000.0,10270000.0,36115000.0,2045000.0,335000.0,799000.0,601000.0,1505000.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,1300000.0,0.0,22611000.0,3692000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_2_10.RAW,1,185743000.0,951657100.0,801740200.0,173677000.0,91454000.0,88624000.0,110298000.0,235920000.0,58555000.0,87920000.0,27751000.0,22265000.0,25034000.0,16740000.0,10700000.0,30483000.0,142532000.0,10174000.0,37386000.0,2848000.0,284000.0,743000.0,624000.0,1383000.0,0.0,0.0,0.0,0.0,214000.0,282000.0,0.0,0.0,0.0,0.0,989000.0,0.0,21349000.0,3449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
